標的代號,標的名稱,產業
CQQQ,Invesco China Technology ETF,
CRBP,Corbus製藥控股公司,醫療保健
CRCL,Circle網路集團公司,資訊科技
CRL,查爾斯河實驗室國際公司,醫療保健
CRM,賽富時公司,資訊科技
CROC,ProShares超短澳幣ETF,
CRSP,CRISPR治療公司,醫療保健
CRSR,海盜船遊戲公司,資訊科技
CRVS,康福斯製藥公司,醫療保健
CRWD,Crowdstrike控股公司,資訊科技
CRWV,CoreWeave公司,資訊科技
CSCO,思科,資訊科技
CSD,Invesco S&P Spin-Off ETF,
CSGP,科斯塔集團公司,房地產
CSIQ,阿斯特陽光電力,資訊科技
CSX,CSX Corp,工業
CTAS,信達思公司,工業
CTEC,Global X CleanTech ETF,
CTL,流明科技公司,通訊服務
CTLT,康泰倫特公司,醫療保健
CTRA,科特拉能源公司,能源
CTRM,Castor Maritime Inc,工業
CTSH,高知特科技公司,資訊科技
CTVA,科迪華公司,原材料
CTXS,思杰系統公司,資訊科技
CVS,CVS保健公司,醫療保健
CVX,雪佛龍公司,能源
CXO,康喬資源公司,能源
D,道明尼能源公司,公用事業
DAL,達美航空,工業
DASH,DoorDash公司,非必需消費品
DB,德意志銀行,金融服務
DBA,景順德銀農業基金,
DBB,PowerShares德銀基本金屬基金,
DBC,景順德銀商品指數追蹤基金,
DBEF,Xtrackers MSCI EAFE避險股票ETF,
DBEM,Xtrackers MSCI新興市場匯率避險,
DBX,多寶箱公司,資訊科技
DD,新杜邦公司,原材料
DDD,3D系統公司,工業
DDL,叮咚買菜,必需消費品
DDOG,數據狗公司,資訊科技
DE,迪爾,工業
DECK,德克斯戶外用品公司,非必需消費品
DELL,戴爾科技公司,資訊科技
DFE,智慧樹歐洲小型股股利基金,
DFS,發現金融服務公司,金融服務
DG,達樂公司,必需消費品
DGRO,iShares安碩核心股利成長交易所,
DGX,奎斯特診斷公司,醫療保健
DHI,D.R. Horton公司,非必需消費品
DHR,丹納赫集團,醫療保健
DIA,SPDR道瓊工業平均ETF信託,
DIS,華特迪士尼公司,通訊服務
